startDate,endDate,status,progress,duration,finished,recordedDate,_recordId,distributionChannel,userLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,QID42_4,QID64_TEXT,QID233_TEXT,QID235_FIRST_CLICK,QID235_LAST_CLICK,QID235_PAGE_SUBMIT,QID235_CLICK_COUNT,QID47,QID48_TEXT,QID89_FIRST_CLICK,QID89_LAST_CLICK,QID89_PAGE_SUBMIT,QID89_CLICK_COUNT,QID49,QID90_FIRST_CLICK,QID90_LAST_CLICK,QID90_PAGE_SUBMIT,QID90_CLICK_COUNT,QID122,QID123_FIRST_CLICK,QID123_LAST_CLICK,QID123_PAGE_SUBMIT,QID123_CLICK_COUNT,QID124_TEXT,QID125_FIRST_CLICK,QID125_LAST_CLICK,QID125_PAGE_SUBMIT,QID125_CLICK_COUNT,QID138,QID139_FIRST_CLICK,QID139_LAST_CLICK,QID139_PAGE_SUBMIT,QID139_CLICK_COUNT,QID140_TEXT,QID141_FIRST_CLICK,QID141_LAST_CLICK,QID141_PAGE_SUBMIT,QID141_CLICK_COUNT,QID188_7,QID188_1,QID188_2,QID188_4,QID188_5,QID188_6,QID188_1_TEXT,QID188_2_TEXT,QID188_4_TEXT,QID188_5_TEXT,QID188_6_TEXT,QID189_FIRST_CLICK,QID189_LAST_CLICK,QID189_PAGE_SUBMIT,QID189_CLICK_COUNT,QID126,QID127_FIRST_CLICK,QID127_LAST_CLICK,QID127_PAGE_SUBMIT,QID127_CLICK_COUNT,QID208_1,QID209_FIRST_CLICK,QID209_LAST_CLICK,QID209_PAGE_SUBMIT,QID209_CLICK_COUNT,QID231_1,QID232_FIRST_CLICK,QID232_LAST_CLICK,QID232_PAGE_SUBMIT,QID232_CLICK_COUNT,QID43_1,QID43_2,QID43_3,QID43_4,QID43_5,QID85_FIRST_CLICK,QID85_LAST_CLICK,QID85_PAGE_SUBMIT,QID85_CLICK_COUNT,QID44_1,QID44_2,QID44_3,QID44_4,QID44_5,QID86_FIRST_CLICK,QID86_LAST_CLICK,QID86_PAGE_SUBMIT,QID86_CLICK_COUNT,QID45_1,QID45_2,QID45_3,QID45_4,QID45_5,QID87_FIRST_CLICK,QID87_LAST_CLICK,QID87_PAGE_SUBMIT,QID87_CLICK_COUNT,QID46_1,QID46_2,QID46_3,QID46_4,QID46_5,QID88_FIRST_CLICK,QID88_LAST_CLICK,QID88_PAGE_SUBMIT,QID88_CLICK_COUNT,QID219,QID230_TEXT,QID222_FIRST_CLICK,QID222_LAST_CLICK,QID222_PAGE_SUBMIT,QID222_CLICK_COUNT,QID183,QID217,QID212,QID221_FIRST_CLICK,QID221_LAST_CLICK,QID221_PAGE_SUBMIT,QID221_CLICK_COUNT,QID229_TEXT,treatment,right_place,choiceNum,choice_10,choice_9,choice_8,choice_7,choice_6,choice_5,choice_4,choice_3,choice_2,choice_1,choix,bias,choiceNum_new,annual_amount,income_displayed,other_income1,other_income2,other_income3,other_income4,other_income5,other_income6,other_income7,other_income8,other_income9,other_income10,other_income11,other_income12,other_income13,other_income14,other_income_total,INCOME_TOTAL,other_income_displayed,INCOME_TOTAL_displayed,income,PROLIFIC_PID,CO2
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,DistributionChannel - Distribution Channel,UserLanguage - User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Description_4 - Welcome to this questionnaire.     It is part of a research study about socioeconomic status, conducted by Coralie Chevallier at Ecole Normale Superieure (Paris). The completed work will be confidential.     Participation in this study is voluntary. You may withdraw at any time, but you will only be compensated for the questions you answer, in accordance with the policies and the terms of Prolific. This study will last approximately 3 minutes.          To get further instructions about the study, please click on the 'Read and approved' box below.     By clicking on this box, you certify that you have agreed to participate in accordance with the above conditions. You also indicate that you have read this statement and are over the age of 18. - Read and approved",ID - Please write your Prolific ID:,"Attention_check - Before starting the questionnaire, we just want you to do a colour test. It is very simple: when asked for your favourite colour you must enter the word bole in the text box below.    Having read the instructions, what is your favourite colour?",Time_attentioncheck_First Click - Timing - First Click,Time_attentioncheck_Last Click - Timing - Last Click,Time_attentioncheck_Page Submit - Timing - Page Submit,Time_attentioncheck_Click Count - Timing - Click Count,Gender - What is your gender?,YBirth - What year where you born?,TimeGenderBirth_First Click - Timing - First Click,TimeGenderBirth_Last Click - Timing - Last Click,TimeGenderBirth_Page Submit - Timing - Page Submit,TimeGenderBirth_Click Count - Timing - Click Count,Edu - What is the highest education level you have achieved?,TimeEdu_First Click - Timing - First Click,TimeEdu_Last Click - Timing - Last Click,TimeEdu_Page Submit - Timing - Page Submit,TimeEdu_Click Count - Timing - Click Count,IncomeYesNo - Do you currently receive income for one or more professional activities?,TimeIncomeYesNo_First Click - Timing - First Click,TimeIncomeYesNo_Last Click - Timing - Last Click,TimeIncomeYesNo_Page Submit - Timing - Page Submit,TimeIncomeYesNo_Click Count - Timing - Click Count,Income - What is the total net income you received on your bank account last month for all your professional activities? (in £),TimeIncome_First Click - Timing - First Click,TimeIncome_Last Click - Timing - Last Click,TimeIncome_Page Submit - Timing - Page Submit,TimeIncome_Click Count - Timing - Click Count,IncomeAnnual - You have just reported to earn: £[Field-income_displayed] per month.This means that you earn:  £[Field-income_displayed] x 12 months = £[Field-annual_amount] per year.Does this sound right?,TimeIncomeAnnual_First Click - Timing - First Click,TimeIncomeAnnual_Last Click - Timing - Last Click,TimeIncomeAnnual_Page Submit - Timing - Page Submit,TimeIncomeAnnual_Click Count - Timing - Click Count,"IncomeRectified - Let's try it again, then. What is the total net income you received on your bank account last month for all your professional activities?    If your income vary a lot from month to month (e.g. because you are a seasonal worker), please indicate the average monthly amount based on your total annual earnings.",TimeIncomeRectified_First Click - Timing - First Click,TimeIncomeRectified_Last Click - Timing - Last Click,TimeIncomeRectified_Page Submit - Timing - Page Submit,TimeIncomeRectified_Click Count - Timing - Click Count,"Benefits_7 - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - Selected Choice - I do not receive any additional income or benefit","Benefits_1 - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - Selected Choice - Jobseeker’s Allowance","Benefits_2 - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - Selected Choice - State or occupational Pension","Benefits_4 - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - Selected Choice - Incapacity Benefit","Benefits_5 - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - Selected Choice - Bereavement, Carer's, or Widow's Allowance","Benefits_6 - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - Selected Choice - Other additional income or benefit","Benefits_1_TEXT - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - Jobseeker’s Allowance - Text","Benefits_2_TEXT - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - State or occupational Pension - Text","Benefits_4_TEXT - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - Incapacity Benefit - Text","Benefits_5_TEXT - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - Bereavement, Carer's, or Widow's Allowance - Text","Benefits_6_TEXT - Do you receive any of the following forms of additional income or benefit? If yes, what is the amount you received on your bank account last month? - Other additional income or benefit - Text",TimeBenefit_First Click - Timing - First Click,TimeBenefit_Last Click - Timing - Last Click,TimeBenefit_Page Submit - Timing - Page Submit,TimeBenefit_Click Count - Timing - Click Count,Ladder - Think of this scale as representing where people stand in the United Kingdom.   At the top of the scale (10) are the people who are the best off in terms of overall income. At the bottom (1) are the people who are the worst off in terms of overall income.  Where would you place yourself on this scale?    Please click on the number that corresponds to what you think your position is in the British society.,TimeLadder_First Click - Timing - First Click,TimeLadder_Last Click - Timing - Last Click,TimeLadder_Page Submit - Timing - Page Submit,TimeLadder_Click Count - Timing - Click Count,"BTAE_CO2_1 - Compared to other people in the UK, how much carbon would you say you emit?  Carbon emissions are emissions of greenhouse gases, such as CO2.",Time_BTAE_CO2_First Click - Timing - First Click,Time_BTAE_CO2_Last Click - Timing - Last Click,Time_BTAE_CO2_Page Submit - Timing - Page Submit,Time_BTAE_CO2_Click Count - Timing - Click Count,"BTAE_efforts_1 - Compared to other people in the UK, how much effort do you think you make to protect the environment?",Time_BTAE_effort_First Click - Timing - First Click,Time_BTAE_effort_Last Click - Timing - Last Click,Time_BTAE_effort_Page Submit - Timing - Page Submit,Time_BTAE_effort_Click Count - Timing - Click Count,Env1_1 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - If I ever get extra income I will donate some money to an environmental organization.,Env1_2 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I would like to join and actively participate in an environmentalist group.,Env1_3 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I don’t think I would help to raise funds for environmental protection.,Env1_4 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I would NOT get involved in an environmentalist organization.,Env1_5 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - Environmental protection costs a lot of money. I am prepared to help out in a fund-raising effort.,TimeEnvA_First Click - Timing - First Click,TimeEnvA_Last Click - Timing - Last Click,TimeEnvA_Page Submit - Timing - Page Submit,TimeEnvA_Click Count - Timing - Click Count,Env2_1 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I would not want to donate money to support an environmentalist cause.,Env2_2 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I would NOT go out of my way to help recycling campaigns.,Env2_3 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I often try to persuade others that the environment is important.,Env2_4 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I would like to support an environmental organization.,Env2_5 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I would never try to persuade others that environmental protection is important.,TimeEnvB_First Click - Timing - First Click,TimeEnvB_Last Click - Timing - Last Click,TimeEnvB_Page Submit - Timing - Page Submit,TimeEnvB_Click Count - Timing - Click Count,Env3_1 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I could not be bothered to save water or other natural resources.,Env3_2 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I make sure that during the winter the heating system in my room is not switched on too high.,Env3_3 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - In my daily life I’m just not interested in trying to conserve water and/or power.,"Env3_4 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - Whenever possible, I take a short shower in order to conserve water.",Env3_5 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I always switch the light off when I don’t need it on any more.,TimeEnvC_First Click - Timing - First Click,TimeEnvC_Last Click - Timing - Last Click,TimeEnvC_Page Submit - Timing - Page Submit,TimeEnvC_Click Count - Timing - Click Count,"Env4_1 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I drive whenever it suits me, even if it does pollute the atmosphere.",Env4_2 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - In my daily life I try to ﬁnd ways to conserve water or power.,Env4_3 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - I am NOT the kind of person who makes efforts to conserve natural resources.,"Env4_4 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - Whenever possible, I try to save natural resources.","Env4_5 - How much do you agree with each of the below statements on a scale from 1 (strongly disagree) to 7 (strongly agree)? - Even if public transportation was more efﬁcient than it is, I would prefer to drive my car.",TimeEnvD_First Click - Timing - First Click,TimeEnvD_Last Click - Timing - Last Click,TimeEnvD_Page Submit - Timing - Page Submit,TimeEnvD_Click Count - Timing - Click Count,CFootprintYesNo - Would you be interested in calculating your personal carbon footprint ?     This will take approximately 5 minutes. Please note that you will not be compensated for the time you spend on the carbon calculator.,CF_score - Could you copy below the number of Earths we would need if everyone lived like you?,Time|calc_First Click - Timing - First Click,Time|calc_Last Click - Timing - Last Click,Time|calc_Page Submit - Timing - Page Submit,Time|calc_Click Count - Timing - Click Count,BiasFeedback - Here is your answer to the previous question and your actual situation based on your income is,"BiasCorrection - You reported a total monthly income of £[Field-income_displayed]. And you reported receiving a total of £ [Field-other_income_displayed] of additional income and benefits. This means your total monthly income is: £[Field-INCOME_TOTAL_displayed]*. You placed yourself on step [Field-choix] of the scale. Based on your total income, your actual situation is [Field-right_place]. Please click on it!","TrustJudgementStudy - Before we finish, one last question about the income information we gave you: do you trust that our research team gave you accurate and reliable information?",TrustTimer_First Click - Timing - First Click,TrustTimer_Last Click - Timing - Last Click,TrustTimer_Page Submit - Timing - Page Submit,TrustTimer_Click Count - Timing - Click Count,Remarks - The questionnaire is now complete! Please indicate below if you have remarks before finishing the survey.,treatment,right_place,choiceNum,choice_10,choice_9,choice_8,choice_7,choice_6,choice_5,choice_4,choice_3,choice_2,choice_1,choix,bias,choiceNum_new,annual_amount,income_displayed,other_income1,other_income2,other_income3,other_income4,other_income5,other_income6,other_income7,other_income8,other_income9,other_income10,other_income11,other_income12,other_income13,other_income14,other_income_total,INCOME_TOTAL,other_income_displayed,INCOME_TOTAL_displayed,income,PROLIFIC_PID,CO2
2022-04-05 16:39:31,2022-04-05 16:40:23,Survey Preview,100,52,True,2022-04-05 16:40:26,R_31pHbvTphzhPJnh,preview,EN,1,,,,,Read and approved,dshjdhqsjkhsqjkdhjshdjsk,,,,,,Female,1999,0.473,2.472,5.089,2,Completed high school,0.269,1.036,1.367,2,No,1.788,1.788,2.462,1,,,,,,,,,,,,,,,,,,,Incapacity Benefit,,,,,2000,,,0.412,0.412,3.407,1,1,0.687,1.959,2.297,2,6,0.944,0.944,1.712,1,,,,,,,,,,,0,0,0.918,0,,,,,,0,0,0.518,0,,,,,,0,0,0.26,0,,,,,,0,0,0.268,0,,,0,0,0.775,0,,,,,,,,,,6,217,10,9,8,7,6 Here is your right place!,5,4,3,2,1,1,-5,,0,0,0,0,2000,0,0,,,,,,,,,,2000,2000,"2,000","2,000",0,,
2022-04-05 16:41:20,2022-04-05 16:42:20,Survey Preview,100,60,True,2022-04-05 16:42:21,R_3rZJlCnWdXtjztp,preview,EN,1,,,,,Read and approved,"g,gjreklgjrkejgekjtrkejt",,,,,,Other,2000,0.392,1.312,3.828,3,Some high school or less,0.271,0.271,1.321,1,Yes,0.117,0.117,1.094,1,800,0.374,0.374,4.218,1,Yes,0.229,0.229,1.485,1,,,,,,I do not receive any additional income or benefit,,,,,,,,,,,0.536,0.536,2.426,1,1,0.471,0.471,1.855,1,4,2.294,2.294,2.99,1,,,,,,,,,,,0,0,0.957,0,,,,,,0,0,0.5,0,,,,,,0,0,0.255,0,,,,,,0,0,0.266,0,No,,,,,,,,,,,,,,,1,217,10,9,8,7,6,5,4,3,2,1 Good job!,1,0,,"9,600",800,0,0,0,0,0,,,,,,,,,,0,800,0,800,800,,
2022-04-05 16:42:45,2022-04-05 16:43:31,Survey Preview,100,46,True,2022-04-05 16:43:32,R_3oXtdWSmFPdrw08,preview,EN,1,,,,,Read and approved,gjfsglkjekgjlkgjdgdgfgdg,,,,,,Male,1999,0.346,0.907,4.144,2,Some high school or less,0.175,0.175,1.12,1,No,0.281,0.281,1.21,1,,,,,,,,,,,,,,,,,,,,,Other additional income or benefit,,,,,3000,0.616,0.616,4.587,1,2,0.571,0.571,1.501,1,9,0.936,0.936,1.705,1,,,,,,,,,,,0,0,0.895,0,,,,,,0,0,0.124,0,,,,,,0,0,1.023,0,,,,,,0,0,0.26,0,No,,,,,,,,,,,,,,,8,9,10,9,8 Here is your right place!,7,6,5,4,3,2,1,2,-6,,0,0,0,0,0,0,3000,,,,,,,,,,3000,3000,"3,000","3,000",0,,
2022-04-05 16:43:36,2022-04-05 16:44:33,Survey Preview,100,57,True,2022-04-05 16:44:34,R_1rNhdYxfv6cKs8M,preview,EN,1,,,,,Read and approved,fdskfndjsfhdjskhfdjkshfs,,,,,,Male,1999,0.761,1.416,3.874,2,Completed high school,0.494,0.494,1.384,1,Yes,0.751,0.751,1.498,1,4500,0.175,3.863,6.249,3,Yes,0.371,0.371,1.149,1,,,,,,I do not receive any additional income or benefit,,,,,,,,,,,0.453,0.453,1.519,1,10,0.455,0.455,1.529,1,2,1.98,1.98,2.806,1,,,,,,,,,,,0,0,0.877,0,,,,,,0,0,0.199,0,,,,,,0,0,0.213,0,,,,,,0,0,1.233,0,Yes,,1.353,1.353,1.698,1,,,,,,,,,,10,1,10 Good job!,9,8,7,6,5,4,3,2,1,10,0,,"54,000","4,500",0,0,0,0,0,,,,,,,,,,0,4500,0,"4,500",4500,,
2022-04-05 16:44:39,2022-04-05 16:46:01,Survey Preview,100,82,True,2022-04-05 16:46:02,R_86d1tL5NXrRCrND,preview,EN,1,,,,,Read and approved,199919991999199919991999,,,,,,Male,1999,0.561,1.106,1.989,2,Some high school or less,0.3,0.3,1.087,1,No,0.672,0.672,1.616,1,,,,,,,,,,,,,,,,,,State or occupational Pension,,,,,1999,,,,0.326,0.751,2.36,2,9,1.571,1.571,2.813,1,6,2.328,3.4,32.659,2,,,,,,,,,,,0,0,0.894,0,,,,,,0,0,0.275,0,,,,,,0,0,0.265,0,,,,,,0,0,0.707,0,No,,,,,,,,,,,,,,,6,2,10,9,8,7,6 Here is your right place!,5,4,3,2,1,9,3,,0,0,0,1999,0,0,0,,,,,,,,,,1999,1999,"1,999","1,999",0,,
2022-04-05 16:49:51,2022-04-05 16:51:04,Survey Preview,100,72,True,2022-04-05 16:51:04,R_3ENkgSHS9UdQN5M,preview,EN,1,,,,,Read and approved,20002000200020002000v200,,,,,,Male,2000,0.577,5.358,6.313,5,Completed high school,0.207,0.207,1.064,1,No,1.171,1.171,1.933,1,,,,,,,,,,,,,,,,,,,Incapacity Benefit,,,,,2000,,,0.432,0.432,2.434,1,7,2.537,2.537,6.571,1,2,1.049,1.049,1.783,1,,,,,,,,,,,0,0,0.695,0,,,,,,0,0,0.239,0,,,,,,0,0,0.308,0,,,,,,0,0,1.24,0,Yes,,10.831,10.831,11.179,1,,,,,,,,,,6,4,10,9,8,7,6 Here is your right place!,5,4,3,2,1,7,1,,0,0,0,0,2000,0,0,,,,,,,,,,2000,2000,"2,000","2,000",0,,
2022-04-05 17:08:22,2022-04-05 17:10:25,Survey Preview,100,122,True,2022-04-05 17:10:25,R_3JjXdh2Cq0M1aHB,preview,EN,1,,,,,Read and approved,200020002000200020002000,,,,,,Male,2000,0.629,1.277,2.376,2,Post graduate,0.511,0.511,1.306,1,Yes,1.6,1.6,3.149,1,2000,1.012,1.012,2.83,1,Yes,0.574,0.574,1.375,1,,,,,,I do not receive any additional income or benefit,,,,,,,,,,,0.986,0.986,2.06,1,8,4.729,4.729,5.923,1,3,2.025,2.025,2.84,1,,,,,,,,,,,0,0,0.993,0,,,,,,0,0,0.316,0,,,,,,0,0,0.176,0,,,,,,0,0,0.209,0,Yes,,0,0,19.477,0,,,,,,,,,0,6,3,10,9,8,7,6 Here is your right place!,5,4,3,2,1,8,2,,"24,000","2,000",0,0,0,0,0,,,,,,,,,,0,2000,0,"2,000",2000,,
2022-04-05 17:11:08,2022-04-05 17:13:39,Survey Preview,100,151,True,2022-04-05 17:13:40,R_p6rh0hno8GZukz7,preview,EN,1,,,,,Read and approved,20002000v200020002000200,,,,,,Other,2000,0.605,1.532,3.248,2,Completed college,0.657,0.657,1.577,1,No,0.955,1.706,2.086,2,,,,,,,,,,,,,,,,,,,,,Other additional income or benefit,,,,,2000,1.386,1.386,4.058,1,4,45.591,45.591,52.401,1,2,2.544,2.544,3.337,1,,,,,,,,,,,0,0,4.525,0,,,,,,0,0,0.369,0,,,,,,0,0,0.149,0,,,,,,0,0,0.173,0,No,,,,,,,${e://Field/choice_6},,0,0,0.503,0,,1,6,7,10,9,8,7,6 Here is your right place!,5,4,3,2,1,4,-2,25,0,0,0,0,0,0,2000,,,,,,,,,,2000,2000,"2,000","2,000",0,,
2022-04-05 17:13:43,2022-04-05 17:15:50,Survey Preview,100,126,True,2022-04-05 17:15:51,R_3M3DmEXL13glFOq,preview,EN,1,,,,,Read and approved,200020002000200020002000,,,,,,Other,2000,0.333,0.9,1.881,2,Some high school or less,0.27,1.114,1.367,2,No,0.643,0.643,1.741,1,,,,,,,,,,,,,,,,,,,,"Bereavement, Carer's, or Widow's Allowance",,,,,2000,,0.54,1.661,3.233,2,7,2.987,2.987,5.59,1,6,1.683,4.971,5.955,2,,,,,,,,,,,0,0,10.183,0,,,,,,0,0,0.632,0,,,,,,0,0,1.712,0,,,,,,0,0,0.211,0,Yes,,0,0,25.967,0,,${e://Field/choice_6},Yes,2.619,2.619,3.46,1,,1,6,4,10,9,8,7,6 Here is your right place!,5,4,3,2,1,7,1,25,0,0,0,0,0,2000,0,,,,,,,,,,2000,2000,"2,000","2,000",0,,
